name,dob,gender,address,aadharNumber,phoneNumber,isTrainPassActive,isBusPassActive,image
Advika Iyengar,10-10-16,male,"18
Rajan Street
Begusarai 605475",2.45733E+11,9.11659E+11,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Jivika Bawa,20-12-82,male,"972, Dara
Nagercoil-036878",9.92149E+11,9.12865E+11,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Vivaan Sastry,28-12-08,female,"44/88
Trivedi Road
Aligarh 361224",3.46405E+11,294930776,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Azad Buch,31-05-85,male,"H.No. 26, Gill Marg, Tinsukia-217643",7.29211E+11,9.19817E+11,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Indranil Datta,05-08-49,male,"H.No. 70
Biswas Marg, Ambarnath-309022",9.15662E+11,6.02702E+11,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Anika Sawhney,12-04-20,male,"505
Ramaswamy Circle, Kollam 850415",6.88403E+11,4459950920,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Anya Bhakta,29-04-06,male,"H.No. 36, Seshadri Circle
Bokaro 112149",7.6099E+11,678856308,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Lakshit Kata,09-09-27,male,"H.No. 916, Sangha Road
Tiruppur-748389",4.21984E+11,4.09813E+11,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Yuvraj  Date,17-10-21,female,"513, Saraf Path
Munger 841177",5.97617E+11,9.1493E+11,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Kiara Malhotra,08-10-09,male,"H.No. 226
Khanna Chowk, Thrissur-422506",3.72717E+11,3.08849E+11,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Anya Dutta,03-07-06,male,"445
Gole Road, Uluberia 024534",3.71361E+11,5627920464,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Reyansh Brahmbhatt,26-02-62,male,"27
Bera Zila, Suryapet 687956",2.76714E+11,3.55684E+12,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Diya Thakkar,19-10-90,male,"36/772, Shanker Marg
Davanagere 206923",9.2554E+11,1807674235,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Eshani Sarraf,30-01-61,male,"H.No. 405, Kalita Circle, Mysore-342372",9.33396E+11,5.42938E+11,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Urvi Kumar,04-04-72,male,"H.No. 910, Sharaf Path
Surendranagar Dudhrej 044325",5.85823E+11,8.52687E+11,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Kanav Sandal,28-07-11,male,"633, Tiwari Marg
Ulhasnagar-663166",2.58495E+11,6516518923,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Ranbir Kara,19-10-44,female,"40/005, Borde Path, Raurkela Industrial Township 217563",6.70007E+11,9.9281E+11,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Sana Sura,06-12-69,male,"H.No. 85, Mand Zila, Nagpur-308216",5.18696E+11,85737472275,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Urvi Deshmukh,05-04-82,female,"H.No. 30
Atwal Nagar, Kamarhati 840231",6.36921E+11,9.19669E+11,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Riya Kibe,01-04-86,female,"24/560, Dewan Chowk, Hindupur-123662",7.8532E+11,4046675549,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Rohan Dhar,09-04-09,male,"114, Bala Street
Jaipur-438377",7.97838E+11,914624502,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Dhanuk Saha,13-02-12,male,"H.No. 26, Sama Street
Satara 316748",8.10806E+11,1190736212,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
